,Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
1003,2015,07/27/2015,RACING INCIDENT,Saratoga Racecourse (NYRA),Finish,Racing,Thoroughbred,80* clear,Spun Hard,LINDA L. RICE,CORNELIO VELASQUEZ,Spun Hard-Tr. Linda Rice-eased thru stretch-pulled up at finish-ambulanced off-stumbled during race-horse had an ankle issue and is now retired, 
1004,2015,07/27/2015,RACING INJURY,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,80* Clear,Moonlit Sonnet,JOSEPH F. ORSENO,JOEL ROSARIO,Moonlit Sonnet-Tr. Joe Orseno-pulled up-ambulanced off-Investigation continues, 
1005,2015,07/26/2015,RACING INJURY,Saratoga Racecourse (NYRA),1/4 pole,Racing,Thoroughbred,80 * clear,Reach for a Kitten,MIKE J. MAKER,JOSE L. ORTIZ,Reach for a Kitten-Tr. Mike Maker-pulled up-ambulanced off-vet check revealed Fx LF cannon bone-casted and sent to KY for surgery and time off for recovery,Injury
1006,2015,07/24/2015,RACING INCIDENT,Tioga Downs,Tioga Downs,Racing,Harness, ,Vicky's Big Stick,MEIR I. GELLER,JOHN P. CUMMINGS JR,Vicky's Big Stick-Tr. Meir Geller-Driver John Cummings Jr.-DNF race-flat tire on cart-pulled up-no injuries to horse or driver, 
1007,2015,07/20/2015,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Warm up on Main Track,Racing,Harness,Hot/humid,Casimir Jubilee,ALLEN SISCO,ALLEN SISCO,Casimir Jubilee-Tr. Allen Sisco-fell during warmup-possible equipment failure-no injuries to horse or driver-must qualify,Steward's List
1008,2015,07/20/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/2 mile pole,Racing,Thoroughbred, ,IMPOSING FIGURE,CHRISTOPHER J. ENGLEHART,JOSE M. ROHENA,Imposing Figure-Tr. Chris Englehart-pulled up at the 1/2 mile pole-vanned off,Euthanasia
1009,2015,07/19/2015,RACING INCIDENT,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,88* Clear,Magician's Bullet,MICHAEL J. TROMBETTA,LUIS SAEZ,Magician's Bullet-Tr. Michael Trombetta-eased late in stretch-investigation continues, 
1010,2015,07/18/2015,EQUINE DEATH,Saratoga Gaming & Raceway,1/4 Pole,Racing,Harness,Clear,Bettors Curse,JOHN C. PODRES,AUSTIN T. SIEGELMAN,Bettors Curse-Tr. John Podres-broke stride-pulled up-ambulanced off-vet exam showed RF ankle instability likely due to fractures-euthanized,Equine Death
1011,2015,07/17/2015,FALL OF RIDER,Belmont Park (NYRA),near starting gate before race,Racing,Thoroughbred, ,Chico Grande,RODRIGO A. UBILLO,RUBEN SILVERA,Chico Grande-Tr. Rodrigo Ubillo-unseated jockey Ruben Silvera-ran loose to the barn area-out rider Israel Ayaguica injured trying to catch him-outrider taken to hospital by ambulance, 
1012,2015,07/17/2015,STEWARDS/VETS LIST,Tioga Downs,post parade,Racing,Harness,Clear,READYSETLETSROLL,AARON BYRON,AARON BYRON,Readysetletsroll-Tr. Aaron Byron-refused to pace-vet exam revealed lameness-scratched from race,Steward's List
1013,2015,07/17/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Barn/Stall,Non-Racing,Thoroughbred, ,Bella Bamba,VICTOR L. CARRASCO, ,Bella Bamba-Tr. Victor Carrasco  Jr.-history of kicking walls-fx R hip-poor prognosis-euthanized,Equine Death
1014,2015,07/16/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Non-Racing,Thoroughbred, ,Painted Pony,EDUARDO A. MAVER JR, ,Painted Pony-Tr. Eduardo Maver  Jr.-diagnosis of colitis-euthanized,Equine Death
1015,2015,07/16/2015,STEWARDS/VETS LIST,Vernon Downs,Vernon Downs,Racing,Harness,Clear,Forensic,CLAUDE R. MCGAUGHEY III,JOSE LEZCANO,Drawback-Tr. Tracy Brainard-lame R knee-scratched, 
1016,2015,07/16/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,During Race,Racing,Harness,Clear,Mack Baran,TRAVIS M. ALEXANDER,BILLY A. DOBSON,Mack Baran-Tr. Travis Alexander-DNF race-vet exam revealed irregular heartbeat-probable a-fib-scratched,Steward's List
1017,2015,07/16/2015,RACING INCIDENT,Belmont Park (NYRA),After Finish,Racing,Thoroughbred, ,Wonder Brew,MARK A. HENNIG,JOSE L. ORTIZ,Wonder Brew-Tr. Mark Hennig-ambulanced off-investigation continues, 
1018,2015,07/16/2015,RACING INCIDENT,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,80* Clear,Foresnic,CLAUDE R. MCGAUGHEY III,JOSE LEZCANO,Forensic-Tr. Claude McGaughey-clipped heals unseating rider-ambulanced off-rider-ambulanced off-to first aid-back training,Steward's List
1019,2015,07/16/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,RETAKING,LUIS A. GUTIERREZ,GUILLERMO RODRIGUEZ,Retaking-Tr. Luis Gutirerrez-fracture LF Ankle-euthanized,Equine Death
1020,2015,07/15/2015,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred, ,Miss Luckey Lauren,BRUCE R. BROWN, ,Miss Lucky Lauren-Tr. Bruce Brown-sustained fx L shoulder galloping-euthanized,Equine Death
1021,2015,07/15/2015,FALL OF RIDER,Belmont Park (NYRA),After Finish,Racing,Thoroughbred, ,Blacktype,CHRISTOPHE CLEMENT,JUNIOR R. ALVARADO,Blacktype-Tr. Christophe Clement-stumbled after finish unseating  jockey Junior Alvarado-Alvarado taken off track by ambulance-Alvarado returned to race next day-no injury to horse reported, 
1022,2015,07/13/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Training,Thoroughbred, ,Leverage,CHRISTOPHER J. ENGLEHART,JOHN R. DAVILA,Leverage-Tr. Christopher Englehart-fx RF cannon bone while training-euthanized on track,Equine Death
1023,2015,07/12/2015,STEWARDS/VETS LIST,Belmont Park (NYRA),After finish,Racing,Thoroughbred,88* Cloudy,Downton Alley,LEAH A. GYARMATI,TAYLOR B. RICE,Downton Alley-Tr. Lea Gyamati-low suspensory tear-sent to farm-to be retired,Steward's List
1024,2015,07/11/2015,EQUINE DEATH,Belmont Park (NYRA),Barn Area,Racing,Thoroughbred, ,Lord Cashel,MARC (JOE) J. SHARP,MANUEL FRANCO,Lord Cashel-Tr. Joe Sharp-xrays showed fx RF leg-xrays sent to surgeon with poor prognosis-euthanized,Equine Death
1025,2015,07/11/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway, ,Racing,Harness,Clear  82 degrees,Artist Point,JOHN C. PODRES,JAMES J. DEVAUX,Artist Point-Tr. John Podres-DNF-Lame-must requalify,Steward's List
1026,2015,07/11/2015,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,1/8 pole,Racing,Thoroughbred,Clear,Coalition,CHRISTOPHER J. ENGLEHART,JOHN R. DAVILA,Coalition-Tr. Chris Englehart-pulled up-DNF-walked off track-vet exam revealed no injuries-must qualify,Steward's List
